name,profile
Attitude KS,https://www.finder.fi/Urheiluj%C3%A4rjest%C3%B6/Attitude+KS/Helsinki/yhteystiedot/888368
Balanssi Studiot Oy,https://www.finder.fi/Tanssikurssit+tanssikoulu+liikuntakoulu/Balanssi+Studiot+Oy/Helsinki/yhteystiedot/330851
Balettikoulu Anne Hirvonen,https://www.finder.fi/Balettikoulu/Balettikoulu+Anne+Hirvonen/Helsinki/yhteystiedot/953344
Blue Flamenco,https://www.finder.fi/Tanssikurssit+tanssikoulu+liikuntakoulu/Blue+Flamenco/Helsinki/yhteystiedot/543065
Dance Forever ry,https://www.finder.fi/Tanssikurssit+tanssikoulu+liikuntakoulu/Dance+Forever+ry/Helsinki/yhteystiedot/1622823
Dance Like Ab Oy,https://www.finder.fi/Tanssikurssit+tanssikoulu+liikuntakoulu/Dance+Like+Ab+Oy/Helsinki/yhteystiedot/1887492
EastMark,https://www.finder.fi/Tanssikurssit+tanssikoulu+liikuntakoulu/EastMark/Helsinki/yhteystiedot/2592157
Eflamencodanza,https://www.finder.fi/Ohjelmapalvelut/Eflamencodanza/Helsinki/yhteystiedot/2289744
Escuela DE Baile Hanna,https://www.finder.fi/Tanssikurssit+tanssikoulu+liikuntakoulu/Escuela+DE+Baile+Hanna/Helsinki/yhteystiedot/892097
EtnoFitness,https://www.finder.fi/Tanssikurssit+tanssikoulu+liikuntakoulu/EtnoFitness/Helsinki/yhteystiedot/2266542
Fiesta Flamenca,https://www.finder.fi/Tanssikurssit+tanssikoulu+liikuntakoulu/Fiesta+Flamenca/Helsinki/yhteystiedot/2299603
Fysikaalinen hoitolaitos Hyvän Olon Keskus,https://www.finder.fi/Fysikaalinen+hoito+ja+kuntoutus/Fysikaalinen+hoitolaitos+Hyv%C3%A4n+Olon+Keskus/Helsinki/yhteystiedot/121134
Haapalainen Suutarijääskö Dance Studios,https://www.finder.fi/Tanssikurssit+tanssikoulu+liikuntakoulu/Haapalainen+Suutarij%C3%A4%C3%A4sk%C3%B6+Dance+Studios/Helsinki/yhteystiedot/1216085
Haapalainen Suutarijääskö Dance Studios Oy,https://www.finder.fi/Tanssikurssit+tanssikoulu+liikuntakoulu/Haapalainen+Suutarij%C3%A4%C3%A4sk%C3%B6+Dance+Studios+Oy/Helsinki/yhteystiedot/3128939
Hierbabuena,https://www.finder.fi/Tanssikurssit+tanssikoulu+liikuntakoulu/Hierbabuena/Helsinki/yhteystiedot/931787
